ContractID,ContractType,Department,VendorID,ContractValue,PaymentTerms,Payment_Method,TransactionDate,IsFraud
59,Services,Bridge and Highway,v5,86998.48,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",false
60,Services,Engineering,v3,64348.13,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
61,Services,Port,v1,73276.17,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
62,Supply,Engineering,v1,31421.53,Net 30,PayPal,"error: invalid date ""2022-10-31""",true
63,Services,Public Works,v1,45855.84,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
64,Supply,Public Works,v1,63054.55,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
65,Supply,Public Works,v1,80538.7,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
66,Supply,Port,v1,94934.18,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
67,Construction,Public Works,v1,15197.01,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
68,Services,Public Works,v2,54227.81,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
69,Services,Public Works,v1,91312.22,Net 30,PayPal,"error: invalid date ""2022-10-31""",true
70,Services,Bridge and Highway,v5,3837.39,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
71,Services,Public Works,v4,74864.6,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
72,Construction,Airport,v3,29297.91,Net 45,PayPal,"error: invalid date ""2022-10-31""",false
73,Construction,Engineering,v2,43616.62,Net 45,Credit Card,"error: invalid date ""2022-10-31""",false
74,Services,Public Works,v5,51555.83,Net 30,Credit Card,"error: invalid date ""2022-10-31""",true
75,Supply,Bridge and Highway,v2,69499.92,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
76,Construction,Engineering,v5,2335.35,Net 30,PayPal,"error: invalid date ""2022-10-31""",false
77,Services,Public Works,v2,28860.65,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
78,Services,Airport,v1,18145.08,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
79,Construction,Engineering,v1,81782.74,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
80,Services,Bridge and Highway,v1,69622.43,Net 30,Credit Card,"error: invalid date ""2022-10-31""",true
81,Services,Bridge and Highway,v4,45275.11,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",false
82,Supply,Airport,v5,17681.03,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
83,Supply,Port,v2,83283.29,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",true
84,Services,Engineering,v3,39664.84,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
85,Construction,Engineering,v4,58641.22,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
86,Services,Engineering,v1,2343.84,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",false
87,Maintenance,Airport,v2,55305.71,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
88,Maintenance,Engineering,v5,14499.41,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
89,Supply,Bridge and Highway,v1,95936.43,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
90,Services,Public Works,v1,55236.63,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
91,Services,Public Works,v3,18364.7,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
92,Construction,Engineering,v4,87287.94,Net 30,Credit Card,"error: invalid date ""2022-10-31""",true
93,Services,Engineering,v1,31580.92,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
94,Supply,Airport,v4,32767.17,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",true
95,Services,Airport,v3,54524.3,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
96,Services,Engineering,v5,37990.15,Net 45,PayPal,"error: invalid date ""2022-10-31""",true
97,Services,Bridge and Highway,v3,8510.92,Net 45,Credit Card,"error: invalid date ""2022-10-31""",false
98,Services,Engineering,v5,35774.38,Net 45,PayPal,"error: invalid date ""2022-10-31""",false
99,Services,Port,v4,15896.59,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
100,Services,Public Works,v1,67933.09,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
101,Services,Public Works,v3,37719.81,Net 30,Credit Card,"error: invalid date ""2022-10-31""",true
102,Supply,Engineering,v2,56145.48,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
103,Construction,Engineering,v2,94727.08,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
104,Services,Engineering,v3,98312.55,Net 30,Credit Card,"error: invalid date ""2022-10-31""",false
105,Supply,Bridge and Highway,v5,93653.86,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
106,Maintenance,Engineering,v2,98587.75,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
107,Maintenance,Port,v1,9460.11,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
108,Supply,Bridge and Highway,v5,59494.42,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
109,Services,Public Works,v2,8031.86,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",true
110,Supply,Engineering,v4,94284.64,Net 45,Bank Transfer,"error: invalid date ""2022-10-31""",true
111,Services,Public Works,v2,76539.1,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
112,Construction,Engineering,v5,89270.66,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
113,Services,Engineering,v1,14560.37,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
114,Construction,Engineering,v3,2837.32,Net 45,Bank Transfer,"error: invalid date ""2022-10-31""",true
115,Supply,Engineering,v1,79673.08,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
116,Services,Airport,v4,66385.58,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
117,Supply,Port,v4,84199.94,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
118,Services,Port,v3,21669.31,Net 30,Credit Card,"error: invalid date ""2022-10-31""",true
119,Construction,Public Works,v4,39352.37,Net 30,Bank Transfer,"error: invalid date ""2022-10-31""",true
120,Maintenance,Bridge and Highway,v1,21882.61,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
121,Supply,Airport,v5,12959.66,Net 30,Credit Card,"error: invalid date ""2022-10-31""",true
122,Maintenance,Engineering,v3,95553.26,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
123,Maintenance,Bridge and Highway,v4,59851.13,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
124,Services,Public Works,v2,14156.04,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
125,Services,Engineering,v5,15739.19,Net 45,Bank Transfer,"error: invalid date ""2022-10-31""",false
126,Supply,Transportation,v5,13187.62,Net 30,PayPal,"error: invalid date ""2022-10-31""",false
127,Services,Port,v4,39868.81,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
128,Services,Engineering,v2,86919.09,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
129,Maintenance,Transportation,v4,91595.73,Net 45,PayPal,"error: invalid date ""2022-10-31""",false
130,Construction,Engineering,v4,55596.04,Net 45,Bank Transfer,"error: invalid date ""2022-10-31""",false
131,Supply,Airport,v2,2097.14,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
132,Construction,Engineering,v3,98723.15,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
133,Supply,Engineering,v5,8130.44,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
134,Construction,Engineering,v3,32701.54,Net 30,Bank Transfer,"error: invalid date ""2022-10-31""",true
135,Services,Airport,v1,84349.58,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
136,Supply,Public Works,v4,16196.3,Net 45,PayPal,"error: invalid date ""2022-10-31""",true
137,Maintenance,Transportation,v4,84003.89,Net 30,PayPal,"error: invalid date ""2022-10-31""",false
138,Services,Public Works,v1,7289.84,Net 45,Bank Transfer,"error: invalid date ""2022-10-31""",false
139,Services,Port,v4,46447.76,Net 30,Credit Card,"error: invalid date ""2022-10-31""",false
140,Supply,Public Works,v5,80881.54,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
141,Services,Port,v1,78041.56,Net 30,PayPal,"error: invalid date ""2022-10-31""",false
142,Services,Public Works,v5,50505.68,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",true
143,Supply,Engineering,v1,27234.59,Net 45,Bank Transfer,"error: invalid date ""2022-10-31""",false
144,Supply,Engineering,v1,62297.62,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
145,Services,Airport,v4,55496.89,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",false
146,Services,Airport,v1,84886.33,Net 30,Bank Transfer,"error: invalid date ""2022-10-31""",false
147,Supply,Bridge and Highway,v1,83640.72,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
148,Supply,Bridge and Highway,v4,24865.22,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",false
149,Construction,Engineering,v1,32854.84,Net 45,Credit Card,"error: invalid date ""2022-10-31""",false
150,Supply,Engineering,v3,95382.62,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
151,Supply,Transportation,v5,76025.46,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
152,Construction,Engineering,v1,45619.1,Net 30,Credit Card,"error: invalid date ""2022-10-31""",false
153,Construction,Transportation,v5,42513.27,Net 30,PayPal,"error: invalid date ""2022-10-31""",true
154,Construction,Airport,v5,39227.7,Net 45,Credit Card,"error: invalid date ""2022-10-31""",false
155,Services,Airport,v5,60509.5,Net 30,PayPal,"error: invalid date ""2022-10-31""",false
156,Services,Bridge and Highway,v1,46820.3,Net 30,Bank Transfer,"error: invalid date ""2022-10-31""",true
157,Services,Public Works,v5,74778.9,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
158,Maintenance,Public Works,v1,31943.04,Net 45,PayPal,"error: invalid date ""2022-10-31""",false
159,Services,Airport,v1,32931.15,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
160,Services,Engineering,v4,38584.01,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
161,Maintenance,Port,v5,59388.3,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",true
162,Services,Engineering,v5,27001.56,Net 30,Credit Card,"error: invalid date ""2022-10-31""",false
163,Services,Airport,v4,46854.67,Net 30,Credit Card,"error: invalid date ""2022-10-31""",false
164,Services,Port,v1,59165.98,Net 30,Credit Card,"error: invalid date ""2022-10-31""",true
165,Services,Bridge and Highway,v2,78915.61,Net 30,Credit Card,"error: invalid date ""2022-10-31""",false
166,Supply,Port,v4,840.25,Net 30,Bank Transfer,"error: invalid date ""2022-10-31""",true
167,Construction,Engineering,v2,20574.7,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
168,Services,Port,v4,14630.78,Net 30,Credit Card,"error: invalid date ""2022-10-31""",false
169,Supply,Engineering,v2,88723.66,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
170,Services,Public Works,v1,38561.38,Net 30,Credit Card,"error: invalid date ""2022-10-31""",true
171,Supply,Bridge and Highway,v3,30492.16,Net 45,PayPal,"error: invalid date ""2022-10-31""",false
172,Services,Public Works,v5,79859.53,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
173,Construction,Engineering,v5,73636.31,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
174,Services,Engineering,v5,29320.32,Net 30,PayPal,"error: invalid date ""2022-10-31""",false
175,Services,Public Works,v4,4593.53,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
176,Services,Public Works,v2,91774.59,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
177,Construction,Port,v4,19671.66,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
178,Supply,Engineering,v1,47361.19,Net 30,PayPal,"error: invalid date ""2022-10-31""",true
179,Supply,Transportation,v5,35949.24,Net 30,Credit Card,"error: invalid date ""2022-10-31""",false
180,Maintenance,Airport,v3,46763.49,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
181,Construction,Engineering,v1,43292.8,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
182,Supply,Engineering,v2,70545.15,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
183,Supply,Engineering,v5,4783.67,Net 45,Bank Transfer,"error: invalid date ""2022-10-31""",false
184,Services,Engineering,v5,19513.31,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",true
185,Maintenance,Airport,v1,50027.59,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
186,Services,Bridge and Highway,v1,93670.6,Net 45,Credit Card,"error: invalid date ""2022-10-31""",false
187,Services,Bridge and Highway,v1,76601.89,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
188,Supply,Engineering,v4,61549.68,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
189,Construction,Public Works,v1,75303.49,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
190,Maintenance,Engineering,v3,35889.72,Net 45,PayPal,"error: invalid date ""2022-10-31""",true
191,Supply,Airport,v1,16202.89,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
192,Construction,Engineering,v2,87914.0,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
193,Services,Public Works,v1,25986.26,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
194,Supply,Engineering,v2,53974.75,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
195,Construction,Bridge and Highway,v1,35516.19,Net 45,Bank Transfer,"error: invalid date ""2022-10-31""",true
196,Construction,Transportation,v1,72306.69,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
197,Services,Port,v1,13950.29,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
198,Maintenance,Airport,v1,56927.33,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
199,Services,Airport,v2,6037.77,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
200,Services,Bridge and Highway,v5,14110.68,Net 30,Credit Card,"error: invalid date ""2022-10-31""",false
201,Supply,Port,v4,71549.92,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
202,Services,Port,v5,42590.96,Net 45,Credit Card,"error: invalid date ""2022-10-31""",false
203,Construction,Port,v2,32533.63,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
204,Construction,Port,v2,9958.22,Net 30,Bank Transfer,"error: invalid date ""2022-10-31""",false
205,Supply,Public Works,v2,4086.66,Net 45,Bank Transfer,"error: invalid date ""2022-10-31""",true
206,Supply,Bridge and Highway,v1,73263.51,Net 45,Bank Transfer,"error: invalid date ""2022-10-31""",true
207,Construction,Engineering,v4,81333.33,Net 45,Credit Card,"error: invalid date ""2022-10-31""",false
208,Services,Airport,v3,808.99,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
209,Supply,Engineering,v2,21117.61,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",true
210,Services,Engineering,v4,44085.06,Net 45,PayPal,"error: invalid date ""2022-10-31""",true
211,Supply,Airport,v2,41479.32,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
212,Services,Bridge and Highway,v4,64993.62,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
213,Maintenance,Engineering,v1,29622.69,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",true
214,Construction,Bridge and Highway,v2,65339.66,Net 45,Credit Card,"error: invalid date ""2022-10-31""",false
215,Services,Airport,v1,44596.62,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
216,Construction,Engineering,v2,36190.39,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",false
217,Supply,Airport,v5,98988.88,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
218,Services,Engineering,v1,66859.25,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
219,Services,Engineering,v2,75013.06,Net 45,PayPal,"error: invalid date ""2022-10-31""",false
220,Supply,Engineering,v4,93973.01,Net 45,Credit Card,"error: invalid date ""2022-10-31""",false
221,Supply,Airport,v3,8756.95,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
222,Construction,Airport,v2,24674.16,Net 30,Bank Transfer,"error: invalid date ""2022-10-31""",true
223,Construction,Bridge and Highway,v2,80197.3,Net 45,Credit Card,"error: invalid date ""2022-10-31""",false
224,Supply,Engineering,v1,16975.92,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",false
225,Services,Engineering,v5,59296.39,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
226,Services,Engineering,v1,55109.5,Net 30,Credit Card,"error: invalid date ""2022-10-31""",false
227,Services,Engineering,v5,26900.23,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
228,Supply,Airport,v4,81927.55,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
229,Services,Airport,v1,23562.02,Net 30,Bank Transfer,"error: invalid date ""2022-10-31""",false
230,Construction,Engineering,v5,95160.18,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
231,Services,Engineering,v2,91366.32,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
232,Services,Port,v5,55823.87,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
233,Construction,Airport,v4,8757.83,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
234,Services,Port,v5,37664.52,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
235,Supply,Airport,v1,16328.66,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
236,Services,Engineering,v1,35373.35,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",false
237,Services,Engineering,v2,72064.93,Net 30,Bank Transfer,"error: invalid date ""2022-10-31""",true
238,Construction,Engineering,v4,32640.44,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
239,Maintenance,Engineering,v2,18820.43,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
240,Services,Bridge and Highway,v1,57336.96,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
241,Supply,Engineering,v5,48195.92,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
242,Services,Engineering,v4,44653.33,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
243,Services,Engineering,v1,19713.13,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
244,Maintenance,Public Works,v5,83818.69,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
245,Supply,Port,v4,88043.9,Net 45,PayPal,"error: invalid date ""2022-10-31""",false
246,Services,Port,v2,94900.3,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
247,Services,Engineering,v2,1741.62,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
248,Construction,Engineering,v2,84522.51,Net 45,Credit Card,"error: invalid date ""2022-10-31""",false
249,Services,Port,v3,28866.57,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
250,Construction,Airport,v1,80644.21,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",false
251,Supply,Port,v2,4507.34,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",false
252,Maintenance,Engineering,v5,78785.71,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
253,Services,Port,v1,80406.68,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
254,Services,Port,v5,42211.62,Net 45,PayPal,"error: invalid date ""2022-10-31""",false
255,Construction,Port,v3,62493.24,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
256,Maintenance,Engineering,v1,79003.47,Net 45,Bank Transfer,"error: invalid date ""2022-10-31""",false
257,Supply,Engineering,v3,341.65,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
258,Supply,Engineering,v4,24466.29,Net 45,Bank Transfer,"error: invalid date ""2022-10-31""",true
259,Supply,Public Works,v1,84779.6,Net 30,Credit Card,"error: invalid date ""2022-10-31""",true
260,Services,Port,v5,7806.96,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
261,Supply,Bridge and Highway,v1,45967.66,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
262,Supply,Engineering,v2,9122.46,Net 30,Bank Transfer,"error: invalid date ""2022-10-31""",true
263,Services,Bridge and Highway,v1,98023.75,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
264,Supply,Bridge and Highway,v3,25920.21,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
265,Services,Engineering,v5,37830.8,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
266,Supply,Engineering,v3,5273.88,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
267,Services,Engineering,v2,20132.39,Net 45,PayPal,"error: invalid date ""2022-10-31""",true
268,Services,Engineering,v5,8109.26,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
269,Services,Public Works,v5,37685.72,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
270,Services,Engineering,v5,64155.8,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
271,Services,Bridge and Highway,v4,67830.6,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
272,Construction,Bridge and Highway,v3,39302.24,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",false
273,Construction,Airport,v5,36346.94,Net 45,Credit Card,"error: invalid date ""2022-10-31""",true
274,Supply,Engineering,v1,21417.56,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
275,Supply,Public Works,v2,53813.85,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
276,Services,Port,v1,68056.31,Net 60,Bank Transfer,"error: invalid date ""2022-10-31""",false
277,Services,Engineering,v1,58839.16,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
278,Supply,Engineering,v4,23443.36,Net 60,Credit Card,"error: invalid date ""2022-10-31""",true
279,Services,Port,v3,47557.84,Net 30,Credit Card,"error: invalid date ""2022-10-31""",true
280,Maintenance,Engineering,v3,92890.65,Net 60,PayPal,"error: invalid date ""2022-10-31""",true
281,Supply,Airport,v3,77731.81,Net 60,Credit Card,"error: invalid date ""2022-10-31""",false
282,Supply,Public Works,v4,88805.6,Net 60,PayPal,"error: invalid date ""2022-10-31""",false
283,Supply,Airport,v5,79394.94,Net 30,Credit Card,"error: invalid date ""2022-10-31""",true
284,Construction,Engineering,v1,53190.5,Net 30,Credit Card,"error: invalid date ""2022-10-31""",true
