ContractID,ContractType,Department,VendorID,ContractValue,PaymentTerms,Payment_Method,TransactionDate,IsFraud
26,Supply,Bridge and Highway,v4,95794.46,Net 45,Credit Card,2023-03-24,false
27,Supply,Public Works,v4,12740.76,Net 30,PayPal,2023-07-17,true
28,Supply,Port,v1,47812.39,Net 60,PayPal,2023-02-10,false
29,Construction,Public Works,v2,21109.73,Net 60,Credit Card,2023-07-07,true
30,Construction,Airport,v2,77562.77,Net 45,PayPal,2023-08-04,false
31,Supply,Bridge and Highway,v4,59387.34,Net 60,Credit Card,2023-10-17,true
32,Maintenance,Bridge and Highway,v4,29086.68,Net 45,Bank Transfer,2023-05-12,true
33,Maintenance,Airport,v2,68764.58,Net 60,PayPal,2023-03-09,false
34,Maintenance,Public Works,v4,76801.11,Net 30,Bank Transfer,2023-09-02,false
35,Supply,Port,v2,42650.86,Net 60,Bank Transfer,2023-10-21,true
36,Construction,Transportation,v1,21185.71,Net 30,PayPal,2022-11-18,true
37,Construction,Public Works,v3,66516.38,Net 30,Bank Transfer,2023-05-10,false
38,Services,Public Works,v2,94713.85,Net 45,Credit Card,2023-04-08,false
39,Supply,Engineering,v3,69143.02,Net 30,Credit Card,2023-01-18,false
40,Construction,Port,v2,57663.21,Net 30,PayPal,2023-07-20,false
41,Supply,Bridge and Highway,v4,48682.93,Net 45,Credit Card,2022-11-24,false
42,Supply,Engineering,v5,34876.51,Net 60,Credit Card,2023-04-07,true
43,Supply,Airport,v2,80088.25,Net 30,PayPal,2023-10-12,false
44,Construction,Port,v4,28088.96,Net 60,PayPal,2023-07-23,true
45,Supply,Transportation,v1,42119.86,Net 30,Credit Card,2023-01-30,false
46,Construction,Bridge and Highway,v2,64237.81,Net 45,Credit Card,2022-12-06,true
47,Supply,Bridge and Highway,v1,86573.55,Net 45,Credit Card,2022-11-02,true
48,Supply,Bridge and Highway,v2,78526.75,Net 45,Bank Transfer,2023-06-13,true
49,Construction,Public Works,v5,59775.1,Net 60,Credit Card,2023-04-09,true
50,Services,Engineering,v4,96333.11,Net 45,PayPal,2023-03-18,false
51,Maintenance,Port,v2,83687.79,Net 30,Credit Card,2023-06-11,false
52,Supply,Public Works,v1,72334.79,Net 45,PayPal,2023-01-31,true
53,Services,Bridge and Highway,v4,72889.25,Net 30,Bank Transfer,2023-09-28,true
54,Services,Bridge and Highway,v4,23237.06,Net 45,Bank Transfer,2022-12-09,false
55,Supply,Airport,v4,73343.39,Net 45,Bank Transfer,2023-02-01,false
56,Services,Port,v1,65633.3,Net 45,Bank Transfer,2023-03-19,true
57,Services,Bridge and Highway,v5,20392.08,Net 30,PayPal,2023-09-10,false
58,Supply,Airport,v4,83163.27,Net 45,PayPal,2023-09-21,true
59,Services,Public Works,v4,50271.72,Net 30,Credit Card,2023-04-16,false
60,Maintenance,Public Works,v2,50997.52,Net 60,PayPal,2023-09-25,true
61,Construction,Bridge and Highway,v1,88137.78,Net 30,PayPal,2023-09-21,true
62,Construction,Transportation,v1,56006.99,Net 45,PayPal,2023-10-17,false
63,Services,Port,v1,33634.43,Net 30,Bank Transfer,2023-10-25,true
64,Construction,Engineering,v2,75074.3,Net 60,PayPal,2023-04-01,false
65,Services,Airport,v2,95521.18,Net 30,PayPal,2023-09-20,true
66,Services,Public Works,v4,21215.65,Net 60,Bank Transfer,2023-03-13,false
67,Maintenance,Transportation,v5,75257.81,Net 45,Bank Transfer,2023-08-23,true
68,Services,Airport,v2,80282.28,Net 30,PayPal,2022-12-22,true
69,Services,Engineering,v1,99627.16,Net 45,PayPal,2023-05-24,true
70,Construction,Port,v3,37233.11,Net 45,PayPal,2023-07-30,true
71,Services,Port,v4,30830.52,Net 30,Credit Card,2022-11-10,true
72,Services,Airport,v2,23950.39,Net 60,Bank Transfer,2022-12-07,true
73,Maintenance,Transportation,v3,28091.79,Net 60,PayPal,2023-05-08,true
74,Maintenance,Bridge and Highway,v3,79172.13,Net 60,Credit Card,2023-06-17,true
75,Services,Airport,v3,63134.49,Net 60,Bank Transfer,2023-08-15,false
76,Maintenance,Airport,v2,78050.72,Net 45,PayPal,2022-12-13,true
77,Construction,Transportation,v3,66364.85,Net 60,Bank Transfer,2022-11-01,true
78,Services,Engineering,v1,42141.92,Net 45,Bank Transfer,2023-08-15,false
79,Services,Airport,v2,60196.02,Net 60,PayPal,2022-12-04,true
80,Supply,Bridge and Highway,v5,10583.84,Net 30,Credit Card,2023-01-13,false
81,Supply,Airport,v2,31839.68,Net 30,PayPal,2023-06-09,true
82,Supply,Public Works,v5,59094.46,Net 60,Credit Card,2022-12-11,false
83,Maintenance,Transportation,v1,60715.58,Net 45,Credit Card,2023-03-27,true
84,Maintenance,Transportation,v5,15200.39,Net 45,PayPal,2023-01-03,true
85,Construction,Airport,v2,11019.36,Net 45,Bank Transfer,2023-10-19,true
86,Maintenance,Airport,v4,90797.43,Net 30,Bank Transfer,2023-03-18,true
87,Maintenance,Airport,v4,76346.72,Net 45,PayPal,2023-08-25,false
88,Services,Engineering,v4,91107.3,Net 60,PayPal,2023-03-19,false
89,Maintenance,Transportation,v2,81516.58,Net 60,Bank Transfer,2022-12-07,true
90,Construction,Airport,v3,45824.05,Net 30,PayPal,2023-01-25,false
91,Services,Bridge and Highway,v2,25843.66,Net 45,PayPal,2023-08-08,true
92,Supply,Port,v1,11976.75,Net 60,Bank Transfer,2023-09-28,true
93,Supply,Engineering,v4,19947.45,Net 30,PayPal,2023-03-10,false
94,Maintenance,Bridge and Highway,v4,76450.09,Net 30,PayPal,2023-09-06,false
95,Construction,Airport,v5,55979.76,Net 30,Bank Transfer,2022-12-11,true
96,Construction,Port,v3,90357.63,Net 30,Credit Card,2022-12-15,false
97,Construction,Public Works,v5,43318.24,Net 45,Credit Card,2023-02-04,true
98,Supply,Airport,v1,29769.48,Net 45,PayPal,2023-06-05,false
99,Maintenance,Bridge and Highway,v5,56227.95,Net 60,Bank Transfer,2023-05-23,false
100,Maintenance,Airport,v3,93505.55,Net 30,Credit Card,2022-11-12,true
101,Supply,Airport,v4,47026.51,Net 45,Bank Transfer,2023-09-02,true
102,Services,Bridge and Highway,v2,35243.41,Net 60,Bank Transfer,2022-12-10,false
103,Construction,Port,v2,72671.2,Net 60,Bank Transfer,2023-01-16,true
104,Supply,Bridge and Highway,v4,17522.09,Net 30,Bank Transfer,2023-05-21,true
105,Maintenance,Public Works,v3,14241.16,Net 45,Bank Transfer,2023-09-18,false
106,Services,Port,v1,62149.39,Net 30,Bank Transfer,2022-12-12,true
107,Services,Public Works,v1,48758.12,Net 45,Bank Transfer,2023-08-31,true
108,Services,Port,v5,43555.07,Net 30,Bank Transfer,2023-05-08,true
109,Supply,Airport,v1,34633.9,Net 60,Credit Card,2022-11-07,false
110,Services,Engineering,v3,46389.85,Net 45,Credit Card,2023-07-26,false
111,Services,Engineering,v3,31349.75,Net 60,PayPal,2023-02-10,false
112,Services,Bridge and Highway,v1,11962.42,Net 45,Bank Transfer,2023-08-29,false
113,Services,Bridge and Highway,v2,56709.89,Net 45,Bank Transfer,2023-05-04,false
114,Maintenance,Public Works,v4,39595.79,Net 60,Credit Card,2023-05-30,true
115,Maintenance,Bridge and Highway,v4,70693.17,Net 45,Credit Card,2023-07-18,true
116,Maintenance,Airport,v4,86574.96,Net 45,PayPal,2023-08-08,true
117,Maintenance,Transportation,v5,78774.8,Net 45,Bank Transfer,2022-11-11,false
118,Construction,Bridge and Highway,v3,66438.87,Net 60,Credit Card,2022-11-15,true
119,Construction,Public Works,v1,79574.25,Net 45,Credit Card,2023-07-19,false
120,Construction,Airport,v2,10605.25,Net 60,PayPal,2023-10-11,false
121,Maintenance,Transportation,v4,59166.91,Net 45,Bank Transfer,2022-12-06,true
122,Supply,Engineering,v4,61733.66,Net 30,PayPal,2023-02-04,true
123,Construction,Airport,v2,54476.63,Net 30,PayPal,2023-07-05,false
124,Construction,Airport,v3,65193.92,Net 30,PayPal,2023-06-01,false
125,Services,Bridge and Highway,v2,10843.71,Net 60,Bank Transfer,2023-10-20,true
126,Supply,Engineering,v1,47551.24,Net 30,Bank Transfer,2023-08-23,false
127,Construction,Public Works,v5,91446.15,Net 60,Credit Card,2023-03-18,false
128,Services,Public Works,v5,93208.56,Net 30,Credit Card,2023-09-12,false
129,Construction,Bridge and Highway,v2,73890.06,Net 30,Bank Transfer,2023-09-28,false
130,Services,Transportation,v3,42774.05,Net 45,Credit Card,2023-06-28,true
131,Supply,Public Works,v1,59965.36,Net 30,Credit Card,2023-08-29,true
132,Supply,Public Works,v5,30506.9,Net 30,Credit Card,2023-04-09,false
133,Maintenance,Bridge and Highway,v5,31198.81,Net 45,PayPal,2022-11-17,true
134,Supply,Airport,v1,90555.59,Net 30,Bank Transfer,2023-09-02,true
135,Construction,Bridge and Highway,v4,31417.38,Net 30,Bank Transfer,2023-06-30,false
136,Construction,Engineering,v1,92932.77,Net 60,PayPal,2023-01-17,true
137,Construction,Transportation,v5,16617.94,Net 60,PayPal,2023-02-08,true
138,Supply,Engineering,v5,39183.87,Net 30,Credit Card,2023-04-11,false
139,Maintenance,Public Works,v1,42382.14,Net 60,PayPal,2023-07-06,false
140,Maintenance,Airport,v2,43332.75,Net 30,Bank Transfer,2023-06-05,true
141,Supply,Bridge and Highway,v4,46805.31,Net 45,PayPal,2023-03-02,true
142,Supply,Engineering,v2,47861.77,Net 45,Credit Card,2023-07-23,false
143,Services,Airport,v4,50183.89,Net 30,Bank Transfer,2022-12-22,true
144,Maintenance,Port,v3,24011.55,Net 45,Credit Card,2023-09-12,true
145,Maintenance,Bridge and Highway,v1,72246.73,Net 30,PayPal,2022-12-15,true
146,Supply,Airport,v4,48013.93,Net 60,PayPal,2023-09-16,false
147,Maintenance,Port,v3,90327.51,Net 60,Bank Transfer,2022-11-27,false
148,Construction,Airport,v4,30223.71,Net 30,Credit Card,2023-09-13,true
149,Construction,Airport,v2,91649.41,Net 30,Credit Card,2022-11-25,true
150,Services,Public Works,v1,92169.47,Net 30,PayPal,2023-10-07,true
151,Services,Airport,v1,87340.88,Net 45,PayPal,2022-12-11,true
152,Services,Bridge and Highway,v1,45992.05,Net 60,Credit Card,2023-04-07,true
153,Services,Public Works,v2,42510.48,Net 45,Bank Transfer,2023-01-01,false
154,Services,Airport,v1,55838.55,Net 60,Credit Card,2023-05-28,false
155,Services,Public Works,v2,36321.83,Net 60,Bank Transfer,2023-08-11,false
156,Supply,Bridge and Highway,v1,80696.62,Net 45,PayPal,2023-06-14,false
157,Supply,Public Works,v1,86291.62,Net 45,Credit Card,2023-09-04,false
158,Services,Port,v3,24431.5,Net 30,Bank Transfer,2023-05-17,true
159,Supply,Engineering,v4,78325.29,Net 60,Credit Card,2023-09-26,true
160,Supply,Public Works,v2,19066.12,Net 60,Bank Transfer,2023-03-02,false
161,Construction,Bridge and Highway,v4,25857.35,Net 30,Credit Card,2023-08-17,false
162,Services,Public Works,v1,93144.16,Net 60,Credit Card,2023-01-22,true
163,Supply,Airport,v3,47270.51,Net 60,Bank Transfer,2023-02-12,false
164,Supply,Port,v4,64110.22,Net 45,PayPal,2023-03-14,false
165,Services,Bridge and Highway,v2,79222.92,Net 45,Bank Transfer,2023-09-03,true
166,Construction,Bridge and Highway,v5,39762.7,Net 45,PayPal,2022-11-29,true
167,Services,Airport,v5,38045.56,Net 60,Bank Transfer,2023-09-07,false
168,Construction,Port,v3,95652.82,Net 45,PayPal,2023-07-18,false
169,Supply,Airport,v5,75363.79,Net 45,Bank Transfer,2023-01-23,true
170,Construction,Public Works,v1,29719.02,Net 30,PayPal,2023-06-30,true
171,Services,Port,v3,56254.66,Net 60,Bank Transfer,2022-11-27,true
172,Construction,Airport,v3,46762.73,Net 60,Bank Transfer,2022-11-15,false
173,Supply,Bridge and Highway,v5,86167.28,Net 30,Credit Card,2023-08-23,true
174,Services,Airport,v1,19770.02,Net 60,Credit Card,2023-07-15,false
175,Construction,Port,v2,14349.01,Net 45,PayPal,2023-04-18,false
176,Construction,Engineering,v4,76413.79,Net 60,PayPal,2023-09-19,false
177,Construction,Transportation,v4,40345.28,Net 30,Credit Card,2023-02-05,true
178,Supply,Airport,v2,43022.34,Net 30,Bank Transfer,2023-06-07,false
179,Services,Public Works,v3,21088.95,Net 45,Credit Card,2022-12-18,false
180,Construction,Transportation,v1,78280.82,Net 60,Credit Card,2022-11-28,false
181,Maintenance,Engineering,v2,67445.18,Net 30,Credit Card,2023-09-13,true
182,Construction,Port,v2,71640.26,Net 60,Bank Transfer,2023-01-23,false
183,Maintenance,Airport,v2,40241.86,Net 60,Bank Transfer,2023-05-20,true
184,Services,Transportation,v4,88997.1,Net 60,Credit Card,2023-10-28,false
185,Construction,Airport,v1,10718.19,Net 30,Bank Transfer,2022-11-01,true
186,Construction,Public Works,v1,16048.22,Net 60,Bank Transfer,2023-06-19,true
187,Construction,Public Works,v3,75954.69,Net 30,Credit Card,2023-06-06,false
188,Construction,Bridge and Highway,v1,17077.24,Net 30,Bank Transfer,2023-08-06,true
189,Maintenance,Transportation,v1,74312.02,Net 30,PayPal,2023-08-30,false
190,Maintenance,Public Works,v1,67148.52,Net 60,Credit Card,2023-06-07,true
191,Maintenance,Bridge and Highway,v4,67437.43,Net 30,PayPal,2023-07-19,true
192,Construction,Port,v4,71297.03,Net 45,PayPal,2023-09-09,false
193,Construction,Transportation,v2,43029.74,Net 45,Bank Transfer,2023-06-08,true
194,Services,Bridge and Highway,v2,89375.17,Net 60,Bank Transfer,2022-11-06,false
195,Services,Public Works,v5,53744.56,Net 45,PayPal,2023-08-30,true
196,Maintenance,Airport,v5,70364.83,Net 30,Bank Transfer,2023-01-23,false
197,Supply,Airport,v5,35421.06,Net 60,Credit Card,2023-03-07,true
198,Construction,Transportation,v4,21569.86,Net 45,PayPal,2022-10-30,false
199,Supply,Bridge and Highway,v1,36772.01,Net 30,Credit Card,2023-01-20,true
200,Maintenance,Port,v3,39560.66,Net 30,Credit Card,2023-08-17,true
201,Services,Bridge and Highway,v1,52614.51,Net 45,Bank Transfer,2022-12-09,false
202,Maintenance,Engineering,v3,42080.41,Net 60,PayPal,2023-01-26,true
203,Construction,Airport,v5,99459.15,Net 60,Credit Card,2023-08-01,true
204,Services,Port,v2,54328.19,Net 30,Bank Transfer,2023-08-06,true
205,Services,Bridge and Highway,v1,75476.56,Net 30,Bank Transfer,2023-04-29,false
206,Supply,Port,v4,28095.76,Net 30,Bank Transfer,2023-09-10,false
207,Maintenance,Bridge and Highway,v1,24589.34,Net 60,Credit Card,2022-11-19,true
208,Construction,Public Works,v4,97278.25,Net 45,Credit Card,2023-08-13,false
209,Supply,Engineering,v2,74884.34,Net 60,Bank Transfer,2023-05-25,true
210,Services,Engineering,v3,11494.19,Net 45,Bank Transfer,2022-12-30,true
211,Services,Public Works,v5,43486.62,Net 30,Credit Card,2023-01-15,false
212,Services,Port,v1,98172.73,Net 30,PayPal,2023-03-23,false
213,Maintenance,Port,v5,10381.59,Net 30,Credit Card,2023-04-22,false
214,Maintenance,Airport,v2,98892.31,Net 45,Bank Transfer,2023-06-15,true
215,Services,Bridge and Highway,v4,10052.27,Net 60,Bank Transfer,2023-05-31,false
216,Services,Bridge and Highway,v5,46180.9,Net 60,Credit Card,2023-07-05,false
217,Construction,Airport,v2,62810.24,Net 45,PayPal,2022-11-08,false
218,Supply,Bridge and Highway,v2,68957.7,Net 45,Bank Transfer,2022-12-04,true
219,Maintenance,Public Works,v1,74685.75,Net 60,Bank Transfer,2023-03-27,true
220,Construction,Transportation,v2,41262.68,Net 60,PayPal,2023-04-30,false
221,Services,Public Works,v5,28286.88,Net 60,Credit Card,2023-03-15,true
222,Maintenance,Airport,v3,41592.91,Net 30,PayPal,2023-08-15,true
223,Services,Public Works,v3,67903.28,Net 45,PayPal,2023-09-11,false
224,Maintenance,Transportation,v3,62431.07,Net 45,Bank Transfer,2023-06-11,false
225,Services,Engineering,v3,25070.47,Net 45,Credit Card,2023-04-07,false
226,Supply,Port,v4,73473.01,Net 60,PayPal,2023-04-04,false
227,Maintenance,Transportation,v2,38073.51,Net 45,PayPal,2023-06-30,false
228,Services,Transportation,v3,15890.63,Net 60,PayPal,2023-06-25,false
229,Construction,Bridge and Highway,v4,15520.51,Net 45,Bank Transfer,2023-06-16,false
230,Services,Transportation,v4,76251.6,Net 30,Bank Transfer,2023-01-12,false
231,Construction,Transportation,v1,86011.64,Net 60,Credit Card,2023-04-02,false
232,Supply,Port,v2,22341.48,Net 30,Bank Transfer,2023-06-05,false
233,Supply,Port,v2,73695.13,Net 60,PayPal,2023-09-09,false
234,Maintenance,Public Works,v5,71993.32,Net 60,PayPal,2023-01-22,false
235,Maintenance,Bridge and Highway,v5,41819.0,Net 45,Bank Transfer,2022-11-19,true
236,Maintenance,Port,v2,49270.4,Net 30,Bank Transfer,2023-01-06,false
237,Construction,Public Works,v5,28821.13,Net 45,Credit Card,2023-04-07,false
238,Services,Engineering,v1,51015.78,Net 60,PayPal,2023-10-24,false
239,Construction,Bridge and Highway,v3,74655.4,Net 30,Bank Transfer,2023-06-09,false
240,Construction,Bridge and Highway,v4,14798.95,Net 60,Credit Card,2023-10-24,true
241,Maintenance,Bridge and Highway,v1,56095.97,Net 45,Bank Transfer,2023-01-03,true
242,Maintenance,Public Works,v1,32138.35,Net 30,Bank Transfer,2023-08-11,false
243,Services,Port,v4,84425.43,Net 45,PayPal,2023-04-20,true
244,Maintenance,Transportation,v1,25128.05,Net 60,Credit Card,2023-06-24,true
245,Supply,Engineering,v4,23603.2,Net 30,PayPal,2023-01-24,true
246,Supply,Port,v5,60111.22,Net 45,PayPal,2023-09-05,true
247,Services,Airport,v4,13831.71,Net 60,PayPal,2023-05-01,true
248,Supply,Transportation,v4,69766.18,Net 60,Bank Transfer,2023-05-30,true
249,Services,Airport,v4,78071.66,Net 60,Bank Transfer,2023-07-20,false
250,Construction,Airport,v1,32839.87,Net 45,Bank Transfer,2023-08-09,false
251,Supply,Transportation,v2,92749.43,Net 60,Bank Transfer,2023-05-19,true
252,Services,Transportation,v1,36744.1,Net 30,PayPal,2022-10-30,false
253,Supply,Port,v5,16124.02,Net 30,Bank Transfer,2022-11-14,true
254,Construction,Airport,v2,93864.26,Net 45,Bank Transfer,2023-08-22,true
255,Construction,Transportation,v5,94424.88,Net 45,Credit Card,2023-05-18,false
256,Construction,Public Works,v5,75080.58,Net 30,PayPal,2023-10-14,false
257,Supply,Engineering,v4,73496.42,Net 30,PayPal,2023-04-10,true
258,Services,Engineering,v3,61576.07,Net 60,PayPal,2023-10-16,false
259,Services,Public Works,v1,20068.53,Net 45,Bank Transfer,2023-02-20,true
260,Services,Bridge and Highway,v5,62399.21,Net 60,Bank Transfer,2023-04-11,true
261,Construction,Airport,v1,56118.63,Net 45,Bank Transfer,2023-06-16,true
262,Supply,Transportation,v2,17374.26,Net 30,PayPal,2023-01-05,true
263,Maintenance,Engineering,v1,51237.77,Net 45,PayPal,2023-02-08,true
264,Maintenance,Transportation,v1,81664.91,Net 30,Bank Transfer,2022-11-18,true
265,Construction,Transportation,v1,40510.63,Net 30,PayPal,2022-12-09,false
266,Supply,Bridge and Highway,v1,35483.42,Net 30,Bank Transfer,2023-06-10,false
267,Maintenance,Public Works,v2,81306.87,Net 60,PayPal,2023-01-02,false
268,Supply,Engineering,v5,13192.58,Net 60,PayPal,2023-08-14,false
269,Maintenance,Bridge and Highway,v1,68269.68,Net 60,PayPal,2022-12-20,true
270,Construction,Bridge and Highway,v2,15587.47,Net 30,PayPal,2023-09-09,true
271,Services,Engineering,v1,85132.06,Net 30,Credit Card,2023-04-22,true
272,Construction,Port,v1,57411.45,Net 30,Credit Card,2023-01-15,true
273,Services,Engineering,v2,37106.58,Net 60,Bank Transfer,2022-11-12,false
274,Construction,Public Works,v1,55121.41,Net 30,Bank Transfer,2022-11-19,true
275,Construction,Bridge and Highway,v4,16027.32,Net 60,Credit Card,2023-02-08,false
276,Maintenance,Port,v3,69573.0,Net 30,Credit Card,2023-10-19,true
277,Maintenance,Public Works,v3,87455.42,Net 60,Credit Card,2023-08-28,true
278,Maintenance,Airport,v1,20446.5,Net 45,Bank Transfer,2023-02-11,true
279,Supply,Bridge and Highway,v4,87680.66,Net 60,Bank Transfer,2023-08-28,true
280,Supply,Engineering,v2,33724.18,Net 30,Bank Transfer,2023-05-11,true
281,Services,Airport,v2,62263.44,Net 45,Credit Card,2023-02-25,true
282,Maintenance,Port,v5,49193.55,Net 45,PayPal,2023-08-25,true
283,Construction,Port,v5,30893.57,Net 30,Credit Card,2023-02-05,false
284,Construction,Public Works,v5,13787.17,Net 60,Bank Transfer,2023-03-13,true
285,Maintenance,Port,v1,23263.24,Net 60,Bank Transfer,2022-12-25,true
286,Maintenance,Port,v3,74410.99,Net 30,PayPal,2023-08-06,true
287,Maintenance,Port,v5,64474.1,Net 45,Credit Card,2023-09-27,false
288,Supply,Engineering,v1,31673.4,Net 60,Credit Card,2022-11-29,false
289,Supply,Port,v2,10585.65,Net 45,Credit Card,2023-04-03,true
290,Services,Bridge and Highway,v3,51695.49,Net 30,Credit Card,2023-10-14,false
291,Supply,Airport,v3,20274.55,Net 60,Bank Transfer,2023-01-26,false
292,Maintenance,Airport,v2,96266.16,Net 30,PayPal,2023-07-19,false
293,Supply,Bridge and Highway,v4,33754.98,Net 60,Bank Transfer,2023-10-22,false
294,Maintenance,Engineering,v1,40996.94,Net 45,PayPal,2023-08-20,false
295,Maintenance,Public Works,v2,35680.05,Net 30,Bank Transfer,2023-06-08,false
296,Maintenance,Transportation,v2,93595.43,Net 45,PayPal,2022-11-04,false
297,Services,Airport,v2,98400.56,Net 60,Bank Transfer,2023-02-12,false
298,Construction,Airport,v3,58043.55,Net 30,PayPal,2023-05-28,false
299,Construction,Public Works,v5,97172.6,Net 45,Credit Card,2023-07-10,true
300,Supply,Bridge and Highway,v2,25634.93,Net 60,PayPal,2023-02-03,true
301,Supply,Engineering,v4,84793.76,Net 60,Credit Card,2023-03-18,false
302,Construction,Engineering,v4,66041.19,Net 45,PayPal,2023-02-02,false
303,Supply,Port,v3,55426.51,Net 45,PayPal,2023-02-21,true
304,Construction,Public Works,v3,18821.08,Net 60,PayPal,2023-06-05,false
305,Maintenance,Engineering,v2,26223.46,Net 60,Bank Transfer,2023-07-02,false
306,Services,Airport,v1,55513.0,Net 60,Bank Transfer,2022-12-28,false
307,Supply,Transportation,v1,41982.39,Net 30,PayPal,2022-11-25,false
308,Maintenance,Public Works,v4,13175.19,Net 30,Credit Card,2023-09-25,false
309,Services,Public Works,v3,64944.04,Net 45,Bank Transfer,2023-03-08,true
310,Construction,Port,v5,65414.44,Net 45,Bank Transfer,2022-12-01,false
311,Supply,Bridge and Highway,v5,90733.61,Net 60,PayPal,2023-07-07,true
312,Maintenance,Transportation,v2,30832.5,Net 45,Credit Card,2022-12-17,false
313,Services,Transportation,v3,17195.93,Net 30,PayPal,2023-01-08,true
314,Services,Engineering,v4,90167.17,Net 60,Bank Transfer,2023-02-11,false
315,Maintenance,Port,v1,31285.06,Net 30,PayPal,2023-09-11,false
316,Services,Transportation,v3,54706.41,Net 30,Bank Transfer,2023-09-16,true
317,Supply,Engineering,v3,79302.69,Net 45,PayPal,2023-06-26,false
318,Supply,Public Works,v2,50072.38,Net 45,Bank Transfer,2023-09-13,true
319,Construction,Port,v1,33994.33,Net 45,Bank Transfer,2023-05-25,true
320,Construction,Engineering,v4,40222.47,Net 45,PayPal,2023-04-03,true
321,Maintenance,Public Works,v2,43693.73,Net 30,PayPal,2022-11-03,true
322,Supply,Transportation,v1,15309.33,Net 30,Credit Card,2023-08-02,true
323,Maintenance,Transportation,v4,46909.87,Net 45,Credit Card,2023-07-31,false
324,Maintenance,Transportation,v1,60969.84,Net 60,Credit Card,2022-11-28,true
325,Maintenance,Transportation,v2,54675.78,Net 30,Bank Transfer,2023-06-05,false
326,Supply,Bridge and Highway,v1,51888.07,Net 30,Bank Transfer,2022-12-13,true
327,Maintenance,Bridge and Highway,v4,22949.37,Net 60,PayPal,2023-08-20,false
328,Construction,Bridge and Highway,v4,91505.2,Net 30,Credit Card,2023-05-20,true
329,Maintenance,Port,v4,31115.87,Net 45,Credit Card,2022-12-23,false
330,Services,Bridge and Highway,v4,89521.11,Net 45,Credit Card,2023-03-17,false
331,Services,Transportation,v1,56876.09,Net 60,Bank Transfer,2022-12-21,true
332,Maintenance,Engineering,v4,55050.11,Net 30,PayPal,2023-04-23,true
333,Maintenance,Bridge and Highway,v3,24753.05,Net 45,Credit Card,2023-01-24,false
334,Construction,Port,v2,61541.45,Net 60,PayPal,2023-02-02,true
335,Supply,Transportation,v4,79307.13,Net 60,Bank Transfer,2023-04-26,true
336,Supply,Public Works,v5,26721.75,Net 45,Credit Card,2023-10-02,false
337,Construction,Airport,v4,71370.92,Net 60,Bank Transfer,2023-01-21,true
338,Construction,Port,v5,96314.31,Net 60,Bank Transfer,2023-09-04,false
339,Services,Engineering,v4,31023.31,Net 45,PayPal,2023-04-15,false
340,Maintenance,Public Works,v4,22143.76,Net 60,Credit Card,2023-07-31,false
341,Maintenance,Transportation,v2,81229.75,Net 45,Bank Transfer,2023-03-26,true
342,Services,Port,v3,17202.41,Net 30,Bank Transfer,2023-07-17,true
343,Services,Bridge and Highway,v1,33206.26,Net 30,PayPal,2023-07-18,true
344,Maintenance,Engineering,v2,48110.52,Net 30,PayPal,2023-10-11,false
345,Supply,Airport,v5,76814.91,Net 30,Credit Card,2023-06-15,true
346,Maintenance,Port,v3,83244.94,Net 60,Credit Card,2023-02-23,false
347,Construction,Engineering,v3,79359.49,Net 60,Bank Transfer,2023-05-07,true
348,Construction,Airport,v2,11735.65,Net 30,Credit Card,2023-03-26,false
