ContractID,ContractType,Department,VendorID,ContractValue,PaymentTerms,Payment_Method,IsFraud
67,Services,Engineering,v4,80564.03,Net 60,Credit Card,0
68,Construction,Engineering,v3,54319.85,Net 30,PayPal,0
69,Services,Engineering,v5,21148.91,Net 30,Credit Card,1
70,Maintenance,Engineering,v2,37524.52,Net 30,Credit Card,0
71,Maintenance,Engineering,v5,22406.69,Net 30,Credit Card,0
72,Services,Engineering,v2,86884.47,Net 60,Credit Card,1
73,Services,Airport,v1,72232.36,Net 45,Credit Card,0
74,Supply,Airport,v4,12216.43,Net 45,Bank Transfer,1
75,Services,Airport,v1,94689.14,Net 60,Credit Card,0
76,Services,Public Works,v3,47147.89,Net 60,PayPal,0
77,Maintenance,Airport,v5,27092.81,Net 45,Credit Card,0
78,Supply,Public Works,v5,3805.54,Net 45,PayPal,0
79,Construction,Engineering,v2,4029.49,Net 45,Credit Card,0
80,Services,Port,v2,25990.39,Net 30,PayPal,0
81,Services,Engineering,v1,72625.75,Net 60,Credit Card,0
82,Services,Engineering,v2,77152.26,Net 30,Credit Card,0
83,Services,Bridge and Highway,v1,75117.53,Net 45,PayPal,0
84,Services,Port,v3,2932.29,Net 45,PayPal,1
85,Supply,Bridge and Highway,v2,48995.01,Net 30,Credit Card,0
86,Services,Engineering,v4,88269.26,Net 60,Credit Card,1
87,Services,Engineering,v2,46277.66,Net 60,Credit Card,0
88,Construction,Public Works,v2,72657.66,Net 60,Credit Card,0
89,Supply,Airport,v1,70825.66,Net 45,Bank Transfer,0
90,Construction,Engineering,v1,46202.53,Net 45,Bank Transfer,1
91,Construction,Public Works,v1,85314.61,Net 45,Credit Card,0
92,Services,Engineering,v1,60552.2,Net 45,Credit Card,0
93,Services,Bridge and Highway,v5,24643.79,Net 45,Credit Card,1
94,Construction,Public Works,v1,60898.45,Net 60,Credit Card,0
95,Services,Airport,v2,23279.08,Net 30,Credit Card,0
96,Supply,Engineering,v3,87867.92,Net 45,Credit Card,1
97,Supply,Engineering,v1,58752.14,Net 30,PayPal,1
98,Supply,Port,v5,81456.24,Net 60,PayPal,0
99,Services,Transportation,v4,5985.57,Net 45,Bank Transfer,0
100,Services,Bridge and Highway,v2,56189.55,Net 30,Bank Transfer,0
101,Services,Airport,v2,40745.87,Net 60,Credit Card,0
102,Services,Bridge and Highway,v2,51939.31,Net 30,Bank Transfer,1
103,Construction,Port,v1,90475.32,Net 60,Credit Card,0
104,Services,Engineering,v1,59147.06,Net 60,PayPal,0
105,Construction,Port,v2,1778.56,Net 45,Credit Card,0
106,Construction,Engineering,v5,78949.67,Net 30,Credit Card,1
107,Services,Engineering,v1,94697.99,Net 45,PayPal,0
108,Maintenance,Public Works,v5,7133.69,Net 60,Bank Transfer,0
109,Supply,Public Works,v3,22462.15,Net 30,Credit Card,0
110,Construction,Airport,v3,44148.16,Net 30,Credit Card,0
111,Supply,Engineering,v5,7334.55,Net 60,Credit Card,1
112,Construction,Engineering,v2,97316.36,Net 60,PayPal,1
113,Services,Public Works,v4,33523.71,Net 60,PayPal,0
114,Services,Port,v5,90694.81,Net 30,PayPal,0
115,Maintenance,Public Works,v5,92887.17,Net 45,PayPal,0
116,Services,Airport,v4,49737.6,Net 60,Credit Card,1
117,Services,Public Works,v4,71651.71,Net 45,Credit Card,0
118,Supply,Engineering,v5,23576.8,Net 45,Credit Card,0
119,Services,Airport,v5,29443.37,Net 30,Credit Card,0
120,Construction,Engineering,v4,1387.14,Net 60,Bank Transfer,1
121,Construction,Port,v4,64539.31,Net 60,Bank Transfer,1
122,Maintenance,Transportation,v1,80939.0,Net 60,Credit Card,0
123,Supply,Engineering,v2,25143.83,Net 60,PayPal,0
124,Supply,Public Works,v1,11944.12,Net 30,Credit Card,0
125,Construction,Engineering,v5,20878.67,Net 45,Bank Transfer,0
126,Supply,Port,v2,43885.94,Net 30,PayPal,0
127,Supply,Engineering,v2,86322.02,Net 60,PayPal,1
128,Construction,Transportation,v5,38857.68,Net 60,Credit Card,1
129,Services,Engineering,v4,1608.3,Net 60,PayPal,0
130,Services,Public Works,v5,78255.59,Net 60,Credit Card,1
131,Maintenance,Airport,v1,7564.67,Net 60,Credit Card,0
132,Services,Engineering,v3,25402.66,Net 60,Credit Card,0
133,Services,Engineering,v5,12114.26,Net 60,Bank Transfer,1
134,Construction,Public Works,v1,18787.39,Net 60,Bank Transfer,0
135,Services,Engineering,v5,92831.71,Net 60,Credit Card,0
136,Construction,Public Works,v1,56652.58,Net 45,Bank Transfer,1
137,Services,Port,v4,72679.45,Net 45,Bank Transfer,1
138,Services,Port,v3,76827.82,Net 60,Credit Card,0
139,Supply,Engineering,v2,4839.32,Net 60,PayPal,0
140,Construction,Engineering,v4,38575.91,Net 60,Credit Card,0
141,Services,Engineering,v5,58208.63,Net 30,Credit Card,0
142,Supply,Engineering,v5,81578.92,Net 60,PayPal,1
143,Construction,Bridge and Highway,v1,91308.97,Net 60,Credit Card,0
144,Supply,Public Works,v5,12901.85,Net 60,PayPal,1
145,Supply,Airport,v5,66996.29,Net 60,Bank Transfer,0
146,Supply,Engineering,v5,86354.39,Net 45,Credit Card,0
147,Supply,Engineering,v3,89488.03,Net 45,PayPal,0
148,Supply,Transportation,v1,23334.15,Net 60,Credit Card,0
149,Services,Engineering,v1,44850.19,Net 60,Credit Card,0
150,Construction,Bridge and Highway,v5,86868.07,Net 60,Credit Card,0
151,Supply,Bridge and Highway,v2,21816.0,Net 30,Bank Transfer,0
152,Maintenance,Bridge and Highway,v5,17902.31,Net 30,PayPal,1
153,Services,Engineering,v1,82065.34,Net 45,PayPal,0
154,Construction,Engineering,v1,59524.41,Net 60,Credit Card,0
155,Maintenance,Bridge and Highway,v2,84614.31,Net 60,Credit Card,0
156,Supply,Public Works,v5,89978.29,Net 60,PayPal,0
157,Construction,Airport,v2,4404.8,Net 45,Bank Transfer,0
158,Maintenance,Port,v5,35799.17,Net 60,Credit Card,1
159,Services,Engineering,v2,18716.6,Net 60,PayPal,0
160,Supply,Public Works,v1,59219.44,Net 60,Credit Card,0
161,Maintenance,Bridge and Highway,v2,52116.34,Net 30,PayPal,0
162,Construction,Airport,v1,72011.16,Net 45,PayPal,0
163,Maintenance,Public Works,v5,58209.11,Net 30,Credit Card,0
164,Construction,Public Works,v5,88572.51,Net 30,Credit Card,1
165,Services,Engineering,v1,30295.53,Net 45,Bank Transfer,1
166,Supply,Public Works,v4,86142.09,Net 45,Credit Card,0
167,Maintenance,Engineering,v2,19291.53,Net 60,PayPal,0
168,Services,Bridge and Highway,v5,12294.17,Net 60,Credit Card,0
169,Services,Public Works,v4,34337.23,Net 45,PayPal,0
170,Construction,Engineering,v1,14960.08,Net 60,Bank Transfer,0
171,Supply,Engineering,v5,93836.14,Net 60,Bank Transfer,1
172,Services,Transportation,v4,85812.8,Net 60,PayPal,1
173,Supply,Engineering,v3,74372.95,Net 30,Bank Transfer,0
174,Maintenance,Engineering,v5,45156.67,Net 45,Credit Card,1
175,Supply,Engineering,v4,48547.24,Net 30,PayPal,0
176,Construction,Engineering,v1,99836.64,Net 60,Credit Card,0
177,Services,Airport,v1,55446.95,Net 45,Credit Card,0
178,Services,Engineering,v3,54527.04,Net 60,Credit Card,0
179,Supply,Port,v5,40982.64,Net 30,Bank Transfer,1
180,Services,Engineering,v3,85219.65,Net 30,Credit Card,0
181,Services,Public Works,v2,40250.88,Net 60,Bank Transfer,1
182,Services,Engineering,v1,91156.3,Net 30,Credit Card,1
183,Maintenance,Bridge and Highway,v5,47835.97,Net 45,Bank Transfer,0
184,Construction,Engineering,v5,84145.76,Net 45,Credit Card,0
185,Supply,Engineering,v5,31396.8,Net 60,PayPal,1
186,Services,Bridge and Highway,v4,18222.76,Net 60,Credit Card,0
187,Supply,Public Works,v1,15782.13,Net 60,Credit Card,0
188,Supply,Public Works,v4,89026.25,Net 45,Bank Transfer,0
189,Services,Engineering,v5,86806.73,Net 60,Credit Card,1
190,Maintenance,Public Works,v2,15157.85,Net 30,Bank Transfer,0
191,Supply,Engineering,v4,54302.44,Net 45,Bank Transfer,0
192,Supply,Bridge and Highway,v4,84524.58,Net 60,Credit Card,0
193,Services,Transportation,v1,36065.75,Net 30,Credit Card,1
194,Supply,Engineering,v2,22938.41,Net 60,Credit Card,1
195,Services,Bridge and Highway,v1,10404.74,Net 60,Credit Card,0
196,Services,Port,v1,7369.98,Net 45,Bank Transfer,1
197,Construction,Bridge and Highway,v2,64364.72,Net 60,PayPal,0
198,Services,Engineering,v4,20075.51,Net 60,PayPal,0
199,Services,Engineering,v3,56868.81,Net 30,Bank Transfer,0
200,Services,Engineering,v2,3479.58,Net 30,Credit Card,0
201,Maintenance,Port,v4,98984.82,Net 60,PayPal,0
202,Services,Port,v2,71289.36,Net 30,Credit Card,0
203,Services,Public Works,v5,9376.83,Net 30,Bank Transfer,1
204,Maintenance,Bridge and Highway,v5,89264.69,Net 60,Credit Card,0
205,Construction,Airport,v5,34640.06,Net 45,Credit Card,0
206,Construction,Engineering,v1,14475.88,Net 30,Credit Card,0
207,Services,Bridge and Highway,v1,81867.76,Net 30,Credit Card,0
208,Supply,Engineering,v5,80650.98,Net 60,Bank Transfer,0
209,Supply,Airport,v5,18026.42,Net 45,Bank Transfer,1
210,Construction,Engineering,v2,97808.8,Net 60,Credit Card,0
211,Construction,Port,v1,63257.67,Net 60,PayPal,1
212,Supply,Engineering,v2,57675.98,Net 60,Credit Card,0
213,Services,Engineering,v2,93875.95,Net 60,PayPal,0
214,Maintenance,Engineering,v1,74912.01,Net 60,Bank Transfer,1
215,Supply,Public Works,v1,62834.23,Net 60,Credit Card,0
216,Supply,Engineering,v3,16928.68,Net 60,Bank Transfer,1
217,Construction,Engineering,v4,36340.38,Net 45,Bank Transfer,0
218,Services,Engineering,v1,24499.2,Net 60,Credit Card,0
219,Services,Engineering,v1,84562.99,Net 30,PayPal,0
220,Services,Port,v5,10593.59,Net 60,Bank Transfer,1
221,Supply,Bridge and Highway,v3,12824.35,Net 60,Credit Card,0
222,Supply,Bridge and Highway,v5,34808.3,Net 45,PayPal,1
223,Supply,Engineering,v5,76568.37,Net 60,Bank Transfer,1
224,Supply,Bridge and Highway,v4,83874.2,Net 45,Bank Transfer,0
225,Maintenance,Public Works,v1,6302.66,Net 45,PayPal,0
226,Services,Engineering,v2,45527.85,Net 30,Bank Transfer,1
227,Services,Engineering,v1,59770.77,Net 60,Bank Transfer,0
228,Construction,Port,v5,16054.6,Net 60,PayPal,1
229,Supply,Engineering,v5,7724.25,Net 60,PayPal,0
230,Construction,Engineering,v5,79927.09,Net 60,PayPal,1
231,Services,Engineering,v1,70355.83,Net 60,Bank Transfer,0
232,Services,Engineering,v4,50129.9,Net 45,Bank Transfer,0
233,Services,Engineering,v3,25853.5,Net 60,PayPal,0
234,Services,Engineering,v1,42401.74,Net 45,PayPal,0
235,Services,Port,v1,73737.41,Net 60,Credit Card,0
236,Services,Engineering,v3,81832.12,Net 60,Bank Transfer,1
237,Services,Port,v1,34042.22,Net 60,PayPal,0
238,Supply,Public Works,v2,60292.28,Net 60,PayPal,0
239,Services,Public Works,v3,47105.8,Net 60,Credit Card,0
240,Services,Bridge and Highway,v1,27500.48,Net 60,Credit Card,1
241,Construction,Engineering,v5,58691.98,Net 60,Bank Transfer,0
242,Supply,Engineering,v5,62074.23,Net 60,PayPal,1
243,Supply,Bridge and Highway,v1,98558.26,Net 60,Credit Card,0
244,Services,Public Works,v3,61498.76,Net 60,PayPal,1
245,Services,Public Works,v1,11282.3,Net 60,PayPal,0
246,Construction,Bridge and Highway,v1,30012.46,Net 30,PayPal,0
247,Supply,Public Works,v1,12928.21,Net 60,Credit Card,1
248,Services,Airport,v3,307.98,Net 60,Credit Card,0
249,Supply,Engineering,v1,18051.73,Net 30,Credit Card,0
250,Maintenance,Public Works,v4,97928.89,Net 60,Credit Card,0
251,Services,Public Works,v4,80067.9,Net 30,Credit Card,0
252,Supply,Bridge and Highway,v1,77335.1,Net 30,PayPal,0
253,Services,Public Works,v1,84391.89,Net 30,Credit Card,1
254,Maintenance,Public Works,v1,49874.18,Net 45,PayPal,1
255,Construction,Bridge and Highway,v1,19038.15,Net 45,PayPal,0
256,Maintenance,Engineering,v5,52651.47,Net 60,PayPal,0
257,Construction,Transportation,v4,49796.92,Net 45,Credit Card,0
258,Supply,Port,v4,51682.35,Net 30,PayPal,1
259,Supply,Transportation,v3,46647.79,Net 45,PayPal,0
260,Construction,Engineering,v1,58208.53,Net 60,PayPal,1
261,Construction,Engineering,v5,37541.44,Net 45,Credit Card,0
262,Supply,Engineering,v1,30111.93,Net 45,Bank Transfer,0
263,Supply,Bridge and Highway,v4,83174.8,Net 30,Credit Card,0
264,Construction,Bridge and Highway,v5,47035.4,Net 60,PayPal,1
265,Services,Port,v1,16281.24,Net 60,PayPal,0
266,Supply,Airport,v2,66466.89,Net 60,Credit Card,1
267,Services,Public Works,v5,84987.58,Net 45,Credit Card,1
268,Construction,Engineering,v2,40820.71,Net 60,PayPal,0
269,Services,Transportation,v4,60290.78,Net 60,Credit Card,0
270,Supply,Engineering,v2,47437.72,Net 60,PayPal,0
271,Services,Public Works,v1,10177.91,Net 60,Credit Card,0
272,Construction,Engineering,v1,13762.42,Net 60,PayPal,0
273,Construction,Public Works,v5,99192.75,Net 60,Credit Card,0
274,Construction,Engineering,v1,38329.27,Net 60,Credit Card,0
275,Supply,Transportation,v5,18364.41,Net 60,Credit Card,0
276,Construction,Public Works,v1,63788.85,Net 45,Credit Card,0
277,Supply,Engineering,v4,10120.99,Net 60,Credit Card,1
278,Services,Engineering,v2,2471.16,Net 60,Credit Card,0
279,Supply,Engineering,v4,69415.78,Net 30,Bank Transfer,1
280,Supply,Port,v3,11756.17,Net 45,PayPal,1
281,Services,Port,v1,12648.76,Net 60,Bank Transfer,0
282,Services,Transportation,v1,30382.29,Net 45,Credit Card,1
283,Supply,Port,v1,93194.76,Net 60,Credit Card,1
284,Maintenance,Engineering,v5,66330.56,Net 60,Credit Card,0
285,Supply,Airport,v5,92743.31,Net 45,Credit Card,0
286,Construction,Bridge and Highway,v2,18024.29,Net 30,Credit Card,0
287,Construction,Engineering,v4,39924.83,Net 60,Credit Card,0
288,Maintenance,Engineering,v5,20370.82,Net 60,Credit Card,0
289,Construction,Transportation,v1,35934.13,Net 45,PayPal,0
290,Supply,Engineering,v4,9599.54,Net 30,Bank Transfer,0
291,Construction,Engineering,v3,54219.43,Net 45,Credit Card,0
292,Construction,Bridge and Highway,v4,78649.81,Net 60,Credit Card,1
293,Services,Public Works,v5,73675.26,Net 60,Bank Transfer,0
294,Construction,Transportation,v2,69955.08,Net 30,PayPal,0
295,Supply,Public Works,v5,83711.78,Net 45,Credit Card,1
296,Services,Public Works,v2,76426.47,Net 45,PayPal,0
297,Services,Bridge and Highway,v1,70269.78,Net 60,Bank Transfer,1
298,Construction,Engineering,v5,3390.61,Net 60,Credit Card,0
299,Services,Engineering,v1,22163.94,Net 45,Credit Card,1
300,Services,Bridge and Highway,v4,18228.12,Net 60,Credit Card,0
301,Maintenance,Engineering,v5,31834.3,Net 60,PayPal,0
302,Construction,Bridge and Highway,v1,93907.01,Net 30,PayPal,0
303,Supply,Transportation,v2,17903.92,Net 60,Credit Card,0
304,Services,Bridge and Highway,v3,21494.8,Net 45,Credit Card,1
305,Maintenance,Engineering,v4,42416.35,Net 30,PayPal,0
306,Construction,Transportation,v1,84197.47,Net 30,PayPal,0
307,Services,Public Works,v1,96620.07,Net 45,Credit Card,0
308,Supply,Engineering,v1,96618.27,Net 60,Credit Card,1
309,Services,Public Works,v5,78423.46,Net 60,PayPal,0
310,Supply,Engineering,v5,68675.28,Net 60,PayPal,1
311,Supply,Engineering,v2,94989.22,Net 45,PayPal,0
312,Construction,Public Works,v5,78880.4,Net 60,Credit Card,0
313,Services,Airport,v1,91034.27,Net 45,Bank Transfer,0
314,Supply,Port,v2,76329.47,Net 45,PayPal,1
315,Supply,Engineering,v5,52029.77,Net 60,Bank Transfer,1
316,Services,Port,v1,97570.31,Net 60,Bank Transfer,0
317,Supply,Engineering,v1,36290.4,Net 45,Credit Card,1
318,Construction,Airport,v5,47160.39,Net 30,Credit Card,1
319,Supply,Bridge and Highway,v2,33086.7,Net 60,Credit Card,0
320,Services,Port,v5,10300.36,Net 60,Credit Card,1
321,Maintenance,Transportation,v1,90658.54,Net 30,Credit Card,1
322,Construction,Public Works,v4,47070.44,Net 45,Credit Card,1
323,Services,Airport,v2,38196.35,Net 45,PayPal,0
324,Services,Engineering,v3,18575.9,Net 60,PayPal,0
325,Supply,Bridge and Highway,v5,72567.8,Net 45,PayPal,0
326,Construction,Bridge and Highway,v5,48134.9,Net 45,PayPal,0
327,Supply,Airport,v4,78745.05,Net 60,Bank Transfer,0
328,Services,Public Works,v5,16661.75,Net 45,Credit Card,0
329,Supply,Public Works,v5,85772.92,Net 60,PayPal,0
330,Maintenance,Transportation,v1,49402.89,Net 60,PayPal,1
331,Construction,Engineering,v4,78086.55,Net 60,Credit Card,0
332,Maintenance,Bridge and Highway,v1,32026.42,Net 60,PayPal,0
333,Construction,Public Works,v4,14673.46,Net 60,Bank Transfer,0
334,Construction,Public Works,v2,22754.37,Net 30,Bank Transfer,0
335,Services,Public Works,v1,21391.01,Net 45,Credit Card,0
336,Supply,Engineering,v3,67638.85,Net 60,Credit Card,0
337,Supply,Airport,v1,32454.23,Net 45,PayPal,0
338,Services,Public Works,v2,50043.31,Net 30,Credit Card,0
339,Construction,Bridge and Highway,v1,30723.98,Net 30,Bank Transfer,0
340,Services,Bridge and Highway,v4,14890.37,Net 60,Credit Card,1
341,Construction,Airport,v1,22836.63,Net 60,Credit Card,0
342,Services,Engineering,v1,33585.11,Net 30,Credit Card,0
343,Supply,Airport,v2,2727.64,Net 60,PayPal,1
344,Supply,Bridge and Highway,v3,11570.73,Net 30,Credit Card,0
345,Services,Airport,v2,18738.02,Net 30,Credit Card,1
346,Services,Public Works,v5,34106.22,Net 30,Credit Card,0
347,Construction,Airport,v1,34351.57,Net 60,PayPal,0
348,Construction,Bridge and Highway,v5,82754.21,Net 45,PayPal,0
349,Services,Engineering,v4,46774.6,Net 45,Bank Transfer,0
350,Construction,Public Works,v5,62340.8,Net 30,Bank Transfer,1
351,Supply,Engineering,v2,41441.46,Net 30,Bank Transfer,0
352,Services,Engineering,v3,78291.38,Net 45,Credit Card,0
353,Supply,Engineering,v3,98603.44,Net 45,PayPal,0
354,Maintenance,Engineering,v2,81743.89,Net 45,Bank Transfer,0
355,Supply,Public Works,v1,12894.64,Net 30,Credit Card,1
356,Construction,Public Works,v4,62747.85,Net 45,Credit Card,1
357,Maintenance,Airport,v1,32918.85,Net 30,Credit Card,0
358,Services,Engineering,v2,92155.85,Net 30,Bank Transfer,1
359,Supply,Engineering,v5,14907.74,Net 60,Credit Card,0
360,Supply,Engineering,v2,97717.78,Net 30,Credit Card,0
361,Construction,Airport,v5,76507.6,Net 60,Credit Card,0
362,Supply,Public Works,v4,75399.58,Net 30,PayPal,0
363,Services,Transportation,v4,37690.15,Net 45,PayPal,0
364,Construction,Engineering,v1,48820.9,Net 45,Credit Card,1
365,Construction,Engineering,v4,98852.37,Net 60,PayPal,1
366,Construction,Engineering,v1,46143.58,Net 30,Credit Card,0
367,Construction,Public Works,v1,20383.0,Net 45,Credit Card,0
368,Maintenance,Port,v2,13565.64,Net 45,PayPal,0
369,Services,Engineering,v1,47707.32,Net 60,Credit Card,1
370,Supply,Airport,v1,3339.19,Net 45,Credit Card,1
371,Supply,Engineering,v1,51070.8,Net 30,Credit Card,0
372,Services,Public Works,v1,20347.8,Net 60,PayPal,0
373,Services,Engineering,v1,72759.81,Net 30,Credit Card,0
374,Services,Engineering,v5,76323.68,Net 60,PayPal,1
375,Services,Public Works,v4,93135.35,Net 30,Credit Card,1
376,Services,Port,v2,35726.58,Net 60,Credit Card,1
377,Construction,Port,v1,75879.9,Net 30,Credit Card,0
378,Maintenance,Bridge and Highway,v2,56349.1,Net 45,Credit Card,0
379,Services,Engineering,v5,87740.22,Net 60,Credit Card,1
380,Construction,Airport,v1,74724.83,Net 45,Credit Card,0
381,Supply,Public Works,v1,95789.0,Net 45,PayPal,0
382,Supply,Public Works,v4,96618.61,Net 60,PayPal,0
383,Supply,Engineering,v1,79769.7,Net 60,Credit Card,1
384,Services,Engineering,v1,78300.78,Net 60,Bank Transfer,0
385,Services,Engineering,v1,91015.18,Net 60,Credit Card,1
386,Maintenance,Public Works,v5,86798.49,Net 60,Bank Transfer,0
387,Services,Engineering,v4,15155.11,Net 45,Bank Transfer,1
388,Construction,Public Works,v5,66280.55,Net 30,PayPal,0
389,Services,Engineering,v5,9122.96,Net 60,Credit Card,1
390,Construction,Bridge and Highway,v1,59550.61,Net 30,Bank Transfer,0
391,Services,Public Works,v1,64480.73,Net 45,Credit Card,0
392,Supply,Engineering,v4,62992.29,Net 60,Credit Card,0
393,Supply,Engineering,v1,27367.93,Net 60,PayPal,0
394,Supply,Bridge and Highway,v2,69437.41,Net 45,Credit Card,0
395,Supply,Engineering,v2,45608.8,Net 60,PayPal,1
396,Services,Engineering,v1,81830.43,Net 60,PayPal,1
397,Supply,Public Works,v1,46605.83,Net 60,Bank Transfer,0
398,Services,Engineering,v4,38346.3,Net 60,Credit Card,1
399,Services,Bridge and Highway,v2,40678.54,Net 45,Credit Card,0
400,Supply,Airport,v2,76232.05,Net 60,Credit Card,0
401,Services,Engineering,v5,59468.45,Net 45,Credit Card,0
402,Services,Engineering,v5,71079.77,Net 30,Credit Card,0
403,Services,Port,v4,34677.13,Net 60,PayPal,0
404,Maintenance,Bridge and Highway,v2,39397.77,Net 60,Bank Transfer,0
405,Services,Bridge and Highway,v2,95198.9,Net 30,PayPal,0
406,Services,Engineering,v3,37259.56,Net 45,Bank Transfer,1
407,Maintenance,Engineering,v1,30664.97,Net 60,Bank Transfer,1
408,Services,Public Works,v3,60458.4,Net 60,Credit Card,0
409,Services,Airport,v5,49653.59,Net 60,Credit Card,0
410,Services,Engineering,v4,81270.92,Net 60,PayPal,0
411,Services,Engineering,v1,61456.57,Net 30,Credit Card,1
412,Services,Bridge and Highway,v4,59326.49,Net 60,Credit Card,0
413,Construction,Bridge and Highway,v1,1146.44,Net 60,PayPal,0
414,Services,Engineering,v1,10676.85,Net 60,PayPal,0
415,Supply,Engineering,v4,35489.54,Net 60,Bank Transfer,0
416,Construction,Engineering,v5,30974.9,Net 60,PayPal,1
417,Maintenance,Engineering,v3,93352.91,Net 45,Credit Card,0
418,Services,Transportation,v1,56197.29,Net 60,Credit Card,0
419,Services,Airport,v4,84225.92,Net 60,PayPal,0
420,Construction,Bridge and Highway,v5,58024.15,Net 45,Bank Transfer,0
421,Services,Engineering,v2,48264.73,Net 45,PayPal,1
422,Services,Public Works,v1,55992.35,Net 60,PayPal,0
423,Supply,Public Works,v5,94460.57,Net 60,Credit Card,0
424,Services,Bridge and Highway,v4,62810.52,Net 30,PayPal,1
425,Supply,Port,v1,16315.31,Net 45,Credit Card,0
426,Supply,Engineering,v1,87623.06,Net 60,PayPal,0
427,Supply,Engineering,v5,36474.65,Net 45,Bank Transfer,0
428,Construction,Port,v2,29465.93,Net 45,PayPal,1
429,Supply,Engineering,v5,9972.13,Net 60,PayPal,0
430,Services,Bridge and Highway,v4,763.28,Net 60,Credit Card,0
431,Maintenance,Public Works,v1,24158.52,Net 60,Credit Card,0
432,Services,Public Works,v1,35558.56,Net 60,Bank Transfer,0
